alien_id,alien_name,alien_type,alien_color,witness_id,witness_name,witness_last_name,witness_address,witness_age,location_id,lat,lon,place,country,region,time_of_day
1,kraken,g18rv44K,green,60,Christian,Cordova,"5410 Allen Vista\nPort Williamland, NJ 36998",26,134,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,night
1,kraken,g18rv44K,green,13,Mary,Fox,"38277 Padilla Cliff\nWest Jamesborough, WV 27850",14,28,47.48444,36.25361,Polohy,UA,Europe/Zaporozhye,night
1,kraken,g18rv44K,green,12,Cynthia,Burnett,"12379 Costa Ford\nEast Patrickstad, MO 14658",51,93,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
5,ydav4ik,c3h7oh,green,41,Derek,Snyder,"PSC 9451, Box 6425\nAPO AA 43989",46,78,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
3,bobrobot,r2d2,yellow,27,David,Anderson,"080 Vazquez Ridge Apt. 259\nMillerville, SC 43484",28,73,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
5,ydav4ik,c3h7oh,green,17,Sue,Kemp,"1691 Ellis Curve Suite 456\nPort Barryton, DE 31453",44,72,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
3,bobrobot,r2d2,yellow,58,Cynthia,Mitchell,"58576 Elizabeth Summit\nEast Karen, WV 52150",41,66,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
3,bobrobot,r2d2,yellow,13,Mary,Fox,"38277 Padilla Cliff\nWest Jamesborough, WV 27850",14,26,49.07866,30.96755,Zvenihorodka,UA,Europe/Kiev,night
5,ydav4ik,c3h7oh,green,25,James,Sanders,"097 Ashley Park Apt. 067\nTaylorton, LA 09593",24,15,46.75451,33.34864,Nova Kakhovka,UA,Europe/Kiev,night
2,thqurma,g18rv44K,yellow,3,Pamela,Smith,"605 Christine Wells\nLyonschester, PA 38239",24,34,49.41029,38.15035,Svatove,UA,Europe/Zaporozhye,day
1,kraken,g18rv44K,green,60,Christian,Cordova,"5410 Allen Vista\nPort Williamland, NJ 36998",26,47,47.56494,31.33078,Voznesensk,UA,Europe/Kiev,day
6,c/\0H,c2h5oh,white,56,Erica,Jenkins,"583 White Valleys\nBrookeview, NM 87428",48,122,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,day
6,c/\0H,c2h5oh,white,41,Derek,Snyder,"PSC 9451, Box 6425\nAPO AA 43989",46,130,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,day
1,kraken,g18rv44K,green,25,James,Sanders,"097 Ashley Park Apt. 067\nTaylorton, LA 09593",24,151,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,night
4,byrav4ik,c2h5oh,blue,5,Scott,Harris,"12502 Kenneth Club Suite 456\nNew Zachary, WV 96762",39,136,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
6,c/\0H,c2h5oh,white,39,Brittany,Ferrell,"525 Mccoy Shore Apt. 429\nWest Blake, AK 54312",29,137,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,night
1,kraken,g18rv44K,green,39,Brittany,Ferrell,"525 Mccoy Shore Apt. 429\nWest Blake, AK 54312",29,73,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,61,Patrick,Reese,"PSC 3941, Box 0259\nAPO AA 08797",45,69,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,12,Cynthia,Burnett,"12379 Costa Ford\nEast Patrickstad, MO 14658",51,72,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
5,ydav4ik,c3h7oh,green,47,Adrian,Atkins,"1785 Cooper Corner Apt. 374\nNorth Michael, WA 12515",16,87,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,45,Andrew,Taylor,"6196 William Locks Apt. 148\nNew Thomas, NE 21412",31,145,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,day
4,byrav4ik,c2h5oh,blue,70,Tonya,Stephens,"238 Martha Rapid Suite 840\nKristyhaven, DC 66761",36,24,46.65581,32.6178,Kherson,UA,Europe/Kiev,night
5,ydav4ik,c3h7oh,green,1,David,Villarreal,"44829 Clark Course Suite 864\nWest Courtney, OH 50495",37,1,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,day
6,c/\0H,c2h5oh,white,17,Sue,Kemp,"1691 Ellis Curve Suite 456\nPort Barryton, DE 31453",44,57,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
4,byrav4ik,c2h5oh,blue,7,Charlene,Obrien,"5408 Miguel Ferry\nJacobville, OR 41425",45,88,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,night
6,c/\0H,c2h5oh,white,27,David,Anderson,"080 Vazquez Ridge Apt. 259\nMillerville, SC 43484",28,12,46.65581,32.6178,Kherson,UA,Europe/Kiev,night
1,kraken,g18rv44K,green,31,Emily,Hart,"43615 Anthony Brook\nNew Penny, SC 98282",43,56,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
1,kraken,g18rv44K,green,7,Charlene,Obrien,"5408 Miguel Ferry\nJacobville, OR 41425",45,71,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
1,kraken,g18rv44K,green,34,Erin,Hahn,USNS Johnson\nFPO AP 82530,55,50,50.75932,25.34244,Lutsk,UA,Europe/Kiev,day
4,byrav4ik,c2h5oh,blue,47,Adrian,Atkins,"1785 Cooper Corner Apt. 374\nNorth Michael, WA 12515",16,67,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
4,byrav4ik,c2h5oh,blue,66,Tiffany,Barajas,"4000 Adams Track\nLoganmouth, AZ 93360",27,56,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
2,thqurma,g18rv44K,yellow,55,Ruben,King,"79281 Sarah Plaza\nNorth Matthewborough, DC 61921",36,76,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,night
4,byrav4ik,c2h5oh,blue,26,Jennifer,Powers,"056 Joyce Spring\nNew Caitlin, IA 08345",22,52,46.75451,33.34864,Nova Kakhovka,UA,Europe/Kiev,day
5,ydav4ik,c3h7oh,green,15,Lori,Cooper,"762 Gregory Heights\nBurgessbury, IL 70144",55,20,45.99194,29.41824,Artsyz,UA,Europe/Kiev,night
4,byrav4ik,c2h5oh,blue,17,Sue,Kemp,"1691 Ellis Curve Suite 456\nPort Barryton, DE 31453",44,40,45.99194,29.41824,Artsyz,UA,Europe/Kiev,day
6,c/\0H,c2h5oh,white,62,Timothy,Flores,"2201 Wright Plaza\nNorth Kelly, NY 98156",46,39,49.41029,38.15035,Svatove,UA,Europe/Zaporozhye,day
5,ydav4ik,c3h7oh,green,54,Terry,Gibson,"9853 Michael Springs\nSouth Pamela, WV 58969",26,10,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,day
2,thqurma,g18rv44K,yellow,6,Bianca,Henry,"00250 Adrian Centers\nEast Charlotte, HI 25778",33,132,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
5,ydav4ik,c3h7oh,green,16,Janet,Malone,"208 Misty Mission\nEddieborough, SD 32848",13,4,46.65581,32.6178,Kherson,UA,Europe/Kiev,day
5,ydav4ik,c3h7oh,green,51,Clayton,Gonzalez,"503 Smith Mountains\nLake Catherineside, MN 00696",45,8,45.99194,29.41824,Artsyz,UA,Europe/Kiev,day
3,bobrobot,r2d2,yellow,39,Brittany,Ferrell,"525 Mccoy Shore Apt. 429\nWest Blake, AK 54312",29,33,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,night
3,bobrobot,r2d2,yellow,38,Amy,Munoz,"95618 Williams Road Apt. 666\nReevesstad, KY 54384",22,46,45.99194,29.41824,Artsyz,UA,Europe/Kiev,night
5,ydav4ik,c3h7oh,green,19,Richard,Crawford,"94388 Tiffany Walk Apt. 953\nJenniferfurt, VA 20562",33,104,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
1,kraken,g18rv44K,green,60,Christian,Cordova,"5410 Allen Vista\nPort Williamland, NJ 36998",26,33,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,night
6,c/\0H,c2h5oh,white,66,Tiffany,Barajas,"4000 Adams Track\nLoganmouth, AZ 93360",27,29,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,day
3,bobrobot,r2d2,yellow,4,Daniel,Murray,"6272 Anderson Union\nLake Paul, ME 29357",24,107,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,25,James,Sanders,"097 Ashley Park Apt. 067\nTaylorton, LA 09593",24,47,47.56494,31.33078,Voznesensk,UA,Europe/Kiev,night
1,kraken,g18rv44K,green,21,Renee,Beck,"1864 Thompson Drive\nEricland, SC 79805",36,127,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
5,ydav4ik,c3h7oh,green,21,Renee,Beck,"1864 Thompson Drive\nEricland, SC 79805",36,152,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
6,c/\0H,c2h5oh,white,62,Timothy,Flores,"2201 Wright Plaza\nNorth Kelly, NY 98156",46,133,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
3,bobrobot,r2d2,yellow,29,Dennis,Ingram,"0116 Hudson Hill\nWest Maureen, CT 03479",23,164,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
3,bobrobot,r2d2,yellow,50,Theresa,Marshall,"936 Tucker Harbor Suite 175\nPort Lori, AZ 05801",38,158,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
5,ydav4ik,c3h7oh,green,69,Ryan,Terry,"PSC 2853, Box 3234\nAPO AP 24917",47,39,49.41029,38.15035,Svatove,UA,Europe/Zaporozhye,night
5,ydav4ik,c3h7oh,green,66,Tiffany,Barajas,"4000 Adams Track\nLoganmouth, AZ 93360",27,83,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
3,bobrobot,r2d2,yellow,22,Karen,Baker,"448 Stewart Hollow\nRyanland, MT 87156",48,20,45.99194,29.41824,Artsyz,UA,Europe/Kiev,night
5,ydav4ik,c3h7oh,green,50,Theresa,Marshall,"936 Tucker Harbor Suite 175\nPort Lori, AZ 05801",38,56,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
1,kraken,g18rv44K,green,59,Jasmine,Clark,"1699 Jenkins Ferry\nPort Derekfurt, ME 70913",16,41,46.65581,32.6178,Kherson,UA,Europe/Kiev,night
1,kraken,g18rv44K,green,51,Clayton,Gonzalez,"503 Smith Mountains\nLake Catherineside, MN 00696",45,13,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,day
6,c/\0H,c2h5oh,white,45,Andrew,Taylor,"6196 William Locks Apt. 148\nNew Thomas, NE 21412",31,71,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
3,bobrobot,r2d2,yellow,62,Timothy,Flores,"2201 Wright Plaza\nNorth Kelly, NY 98156",46,113,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
1,kraken,g18rv44K,green,38,Amy,Munoz,"95618 Williams Road Apt. 666\nReevesstad, KY 54384",22,29,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,night
6,c/\0H,c2h5oh,white,62,Timothy,Flores,"2201 Wright Plaza\nNorth Kelly, NY 98156",46,118,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
6,c/\0H,c2h5oh,white,37,William,Ferguson,"1663 Jeffrey Key\nRandystad, WY 69521",35,64,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
3,bobrobot,r2d2,yellow,49,Jenna,Chen,"417 Martinez Dale\nPaulside, HI 89774",36,58,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
2,thqurma,g18rv44K,yellow,51,Clayton,Gonzalez,"503 Smith Mountains\nLake Catherineside, MN 00696",45,66,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
5,ydav4ik,c3h7oh,green,20,Meghan,Wilkins,"55445 Richard Lane\nLake Ashleyview, AL 95085",42,139,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,day
5,ydav4ik,c3h7oh,green,2,Brittany,Taylor,"6377 Flores Ports\nWest Julietown, AK 62305",37,154,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,night
2,thqurma,g18rv44K,yellow,60,Christian,Cordova,"5410 Allen Vista\nPort Williamland, NJ 36998",26,138,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,night
3,bobrobot,r2d2,yellow,37,William,Ferguson,"1663 Jeffrey Key\nRandystad, WY 69521",35,65,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
5,ydav4ik,c3h7oh,green,4,Daniel,Murray,"6272 Anderson Union\nLake Paul, ME 29357",24,108,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,night
4,byrav4ik,c2h5oh,blue,66,Tiffany,Barajas,"4000 Adams Track\nLoganmouth, AZ 93360",27,73,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
4,byrav4ik,c2h5oh,blue,11,Jerome,Moran,"318 Mark Islands\nNew Derrick, MO 48602",49,140,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,day
1,kraken,g18rv44K,green,50,Theresa,Marshall,"936 Tucker Harbor Suite 175\nPort Lori, AZ 05801",38,154,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
5,ydav4ik,c3h7oh,green,32,Thomas,Hodge,"408 Margaret Hill\nRuiztown, NM 38129",14,156,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
4,byrav4ik,c2h5oh,blue,49,Jenna,Chen,"417 Martinez Dale\nPaulside, HI 89774",36,1,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,night
3,bobrobot,r2d2,yellow,64,Todd,Meyer,"3236 Holly Lights\nLake Patriciashire, GA 61545",32,107,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
5,ydav4ik,c3h7oh,green,10,Kimberly,Palmer,"01912 Wright Glen Suite 088\nNorth Paul, WI 74513",34,102,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
6,c/\0H,c2h5oh,white,45,Andrew,Taylor,"6196 William Locks Apt. 148\nNew Thomas, NE 21412",31,62,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
4,byrav4ik,c2h5oh,blue,49,Jenna,Chen,"417 Martinez Dale\nPaulside, HI 89774",36,41,46.65581,32.6178,Kherson,UA,Europe/Kiev,day
3,bobrobot,r2d2,yellow,21,Renee,Beck,"1864 Thompson Drive\nEricland, SC 79805",36,146,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,night
1,kraken,g18rv44K,green,68,Kyle,Summers,"PSC 7058, Box 6183\nAPO AA 35700",37,85,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,34,Erin,Hahn,USNS Johnson\nFPO AP 82530,55,126,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
4,byrav4ik,c2h5oh,blue,4,Daniel,Murray,"6272 Anderson Union\nLake Paul, ME 29357",24,154,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
1,kraken,g18rv44K,green,59,Jasmine,Clark,"1699 Jenkins Ferry\nPort Derekfurt, ME 70913",16,62,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
3,bobrobot,r2d2,yellow,10,Kimberly,Palmer,"01912 Wright Glen Suite 088\nNorth Paul, WI 74513",34,88,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
2,thqurma,g18rv44K,yellow,1,David,Villarreal,"44829 Clark Course Suite 864\nWest Courtney, OH 50495",37,112,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
3,bobrobot,r2d2,yellow,32,Thomas,Hodge,"408 Margaret Hill\nRuiztown, NM 38129",14,77,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,32,Thomas,Hodge,"408 Margaret Hill\nRuiztown, NM 38129",14,10,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,night
3,bobrobot,r2d2,yellow,55,Ruben,King,"79281 Sarah Plaza\nNorth Matthewborough, DC 61921",36,27,49.65186,26.97253,Krasyliv,UA,Europe/Kiev,night
5,ydav4ik,c3h7oh,green,28,Kimberly,Holmes,"782 Brenda Port Apt. 513\nStephenberg, DC 44235",53,137,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,day
4,byrav4ik,c2h5oh,blue,8,Michelle,Scott,"81077 Williams Station Suite 771\nEast Margaretland, GA 80816",16,64,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
3,bobrobot,r2d2,yellow,29,Dennis,Ingram,"0116 Hudson Hill\nWest Maureen, CT 03479",23,85,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
5,ydav4ik,c3h7oh,green,26,Jennifer,Powers,"056 Joyce Spring\nNew Caitlin, IA 08345",22,7,45.99194,29.41824,Artsyz,UA,Europe/Kiev,day
1,kraken,g18rv44K,green,70,Tonya,Stephens,"238 Martha Rapid Suite 840\nKristyhaven, DC 66761",36,45,46.75451,33.34864,Nova Kakhovka,UA,Europe/Kiev,night
3,bobrobot,r2d2,yellow,56,Erica,Jenkins,"583 White Valleys\nBrookeview, NM 87428",48,50,50.75932,25.34244,Lutsk,UA,Europe/Kiev,night
3,bobrobot,r2d2,yellow,55,Ruben,King,"79281 Sarah Plaza\nNorth Matthewborough, DC 61921",36,67,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
1,kraken,g18rv44K,green,20,Meghan,Wilkins,"55445 Richard Lane\nLake Ashleyview, AL 95085",42,108,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
4,byrav4ik,c2h5oh,blue,53,Dennis,Holmes,"02926 Theresa Harbors\nSouth Anita, MS 67216",40,110,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,31,Emily,Hart,"43615 Anthony Brook\nNew Penny, SC 98282",43,29,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,night
5,ydav4ik,c3h7oh,green,60,Christian,Cordova,"5410 Allen Vista\nPort Williamland, NJ 36998",26,39,49.41029,38.15035,Svatove,UA,Europe/Zaporozhye,night
2,thqurma,g18rv44K,yellow,17,Sue,Kemp,"1691 Ellis Curve Suite 456\nPort Barryton, DE 31453",44,148,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
1,kraken,g18rv44K,green,50,Theresa,Marshall,"936 Tucker Harbor Suite 175\nPort Lori, AZ 05801",38,156,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,night
6,c/\0H,c2h5oh,white,4,Daniel,Murray,"6272 Anderson Union\nLake Paul, ME 29357",24,135,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,day
5,ydav4ik,c3h7oh,green,66,Tiffany,Barajas,"4000 Adams Track\nLoganmouth, AZ 93360",27,57,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
4,byrav4ik,c2h5oh,blue,4,Daniel,Murray,"6272 Anderson Union\nLake Paul, ME 29357",24,57,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,15,Lori,Cooper,"762 Gregory Heights\nBurgessbury, IL 70144",55,152,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
6,c/\0H,c2h5oh,white,60,Christian,Cordova,"5410 Allen Vista\nPort Williamland, NJ 36998",26,36,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,day
5,ydav4ik,c3h7oh,green,62,Timothy,Flores,"2201 Wright Plaza\nNorth Kelly, NY 98156",46,119,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
2,thqurma,g18rv44K,yellow,55,Ruben,King,"79281 Sarah Plaza\nNorth Matthewborough, DC 61921",36,53,45.99194,29.41824,Artsyz,UA,Europe/Kiev,night
6,c/\0H,c2h5oh,white,6,Bianca,Henry,"00250 Adrian Centers\nEast Charlotte, HI 25778",33,41,46.65581,32.6178,Kherson,UA,Europe/Kiev,day
3,bobrobot,r2d2,yellow,29,Dennis,Ingram,"0116 Hudson Hill\nWest Maureen, CT 03479",23,80,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
